vsw,idw,vgs,gm,gds,vsr,gm_full,margin,margin_vth,cgs,cgd,cdb,csb
3.50000000e-01,7.94328235e+01,1.15097905e+00,5.53394589e+00,4.30515255e-01,8.63591146e+01,2.92408306e+00,5.48891261e-01,2.61474373e-01,5.55147660e-12,1.40925398e-12,7.03262732e-13,7.03262732e-13
3.50000000e-01,8.91250938e+01,1.19349019e+00,5.01205815e+00,3.95293177e-01,8.33793770e+01,2.63952694e+00,5.84455299e-01,2.56599630e-01,4.96494320e-12,1.25638937e-12,6.26289716e-13,6.26289716e-13
3.50000000e-01,1.00000000e+02,1.24059722e+00,4.53046457e+00,3.62624090e-01,8.04279630e+01,2.38245248e+00,6.24401639e-01,2.51114810e-01,4.43993642e-12,1.12016669e-12,5.57825895e-13,5.57825895e-13
3.50000000e-01,1.12201845e+02,1.29279717e+00,4.08991849e+00,3.32548095e-01,7.75914382e+01,2.14943568e+00,6.69164083e-01,2.44928915e-01,3.97025271e-12,9.98769548e-13,4.96943587e-13,4.96943587e-13
3.50000000e-01,1.25892541e+02,1.35065947e+00,3.68979490e+00,3.05018993e-01,7.49263396e+01,1.93749487e+00,7.19229748e-01,2.37930304e-01,3.55030883e-12,8.90577676e-13,4.42811025e-13,4.42811025e-13
3.50000000e-01,1.41253754e+02,1.41483384e+00,3.32821256e+00,2.79912870e-01,7.24639786e+01,1.74418236e+00,7.75143681e-01,2.29980976e-01,3.17508083e-12,7.94157231e-13,3.94685594e-13,3.94685594e-13
3.50000000e-01,1.58489319e+02,1.48606858e+00,3.00227926e+00,2.57044072e-01,7.02152894e+01,1.56753068e+00,8.37521681e-01,2.20907533e-01,2.83998697e-12,7.08230160e-13,3.51898431e-13,3.51898431e-13
3.50000000e-01,1.77827941e+02,1.56522168e+00,2.70850013e+00,2.36191474e-01,6.81761429e+01,1.40597109e+00,9.07056098e-01,2.10489806e-01,2.54085526e-12,6.31661133e-13,3.13848898e-13,3.13848898e-13
3.50000000e-01,1.99526231e+02,1.65325200e+00,2.44325058e+00,2.17128979e-01,6.63330528e+01,1.25825905e+00,9.84503500e-01,1.98447204e-01,2.27394678e-12,5.63456685e-13,2.80005226e-13,2.80005226e-13
3.50000000e-01,2.23872114e+02,1.75124578e+00,2.20304003e+00,1.99641323e-01,6.46673863e+01,1.12333113e+00,1.07070311e+00,1.84412421e-01,2.03583900e-12,5.02728707e-13,2.49886965e-13,2.49886965e-13
3.50000000e-01,2.51188643e+02,1.86039580e+00,1.98480167e+00,1.83542481e-01,6.31596822e+01,1.00026716e+00,1.16655450e+00,1.67897786e-01,1.82346099e-12,4.48698473e-13,2.23066491e-13,2.23066491e-13
3.50000000e-01,2.81838293e+02,1.98197581e+00,1.78598136e+00,1.68680753e-01,6.17920689e+01,8.88242853e-01,1.27299408e+00,1.48238456e-01,1.63405940e-12,4.00685991e-13,1.99161430e-13,1.99161430e-13
3.50000000e-01,3.16227766e+02,2.11729281e+00,1.60449572e+00,1.54935215e-01,6.05491458e+01,7.86495274e-01,1.39095972e+00,1.24492569e-01,1.46514689e-12,3.58099964e-13,1.77806488e-13,1.77806488e-13
3.50000000e-01,3.54813389e+02,2.26748403e+00,1.43870739e+00,1.42214245e-01,5.94184053e+01,6.94360771e-01,1.52123722e+00,9.52723481e-02,1.31453391e-12,3.20458594e-13,1.58659446e-13,1.58659446e-13
3.50000000e-01,3.98107171e+02,2.43313102e+00,1.28727408e+00,1.30444828e-01,5.83894133e+01,6.11292493e-01,1.66418878e+00,5.83933316e-02,1.18027941e-12,2.87413741e-13,1.41382409e-13,1.41382409e-13
3.50000000e-01,4.46683592e+02,2.61313375e+00,1.14908702e+00,1.19568471e-01,5.74534063e+01,5.37008030e-01,1.81893670e+00,1.01199966e-02,1.06076737e-12,2.58887330e-13,1.25566686e-13,1.25566686e-13
3.50000000e-01,5.01187234e+02,2.80172221e+00,1.02318802e+00,1.09535074e-01,5.66026875e+01,4.71838820e-01,1.98113143e+00,-5.63040801e-02,9.54281813e-13,2.35675773e-13,1.10168011e-13,1.10168011e-13
3.50000000e-01,5.62341325e+02,2.99486348e+00,9.08717734e-01,1.00298426e-01,5.58300220e+01,4.14910618e-01,2.14587154e+00,-1.17783812e-01,8.42347618e-13,2.18567913e-13,8.57494081e-14,8.57494081e-14
3.50000000e-01,6.30957344e+02,3.13025592e+00,8.04915944e-01,9.18147256e-02,5.51286525e+01,3.65703386e-01,2.26149891e+00,-1.27315652e-01,7.73205386e-13,1.92960317e-13,7.57204843e-14,7.57204843e-14
3.50000000e-01,7.07945784e+02,3.24162753e+00,7.11132202e-01,8.40398983e-02,5.44915849e+01,3.23325329e-01,2.35865738e+00,-1.31956519e-01,6.97064681e-13,1.71367655e-13,6.74153510e-14,6.74153510e-14
3.50000000e-01,7.94328235e+02,3.35554640e+00,6.26902578e-01,7.69275052e-02,5.39107271e+01,2.85929857e-01,2.45865827e+00,-1.35959075e-01,6.24532938e-13,1.52635761e-13,5.98449379e-14,5.98449379e-14
3.50000000e-01,8.91250938e+02,3.47810989e+00,5.52148367e-01,7.04239304e-02,5.33723447e+01,2.52759918e-01,2.56638507e+00,-1.39908132e-01,5.58316847e-13,1.36112383e-13,5.30091735e-14,5.30091735e-14
3.50000000e-01,1.00000000e+03,3.61244237e+00,4.87180529e-01,6.44600674e-02,5.28585621e+01,2.23279417e-01,2.68434961e+00,-1.44015644e-01,4.98620824e-13,1.21457362e-13,4.68535735e-14,4.68535735e-14
3.75000000e-01,1.00000000e-01,6.03680031e-01,2.44619490e+01,1.75132947e+00,1.00008656e+02,2.39396940e+01,1.69303668e-01,2.99482744e-01,3.63215037e-09,1.16858766e-09,5.93944662e-10,5.93944662e-10
3.75000000e-01,1.12201845e-01,6.07969684e-01,2.43922219e+01,1.74527578e+00,1.00021797e+02,2.38727354e+01,1.73247904e-01,2.98978654e-01,3.25689517e-09,1.03961692e-09,5.29881504e-10,5.29881504e-10
3.75000000e-01,1.25892541e-01,6.12272464e-01,2.43156497e+01,1.73873705e+00,9.99862442e+01,2.38064004e+01,1.77166191e-01,2.98472408e-01,2.92016205e-09,9.24915996e-10,4.72720727e-10,4.72720727e-10
3.75000000e-01,1.41253754e-01,6.16588204e-01,2.42442092e+01,1.73256297e+00,9.99870771e+01,2.37406599e+01,1.81054922e-01,2.97964037e-01,2.61802708e-09,8.22905469e-10,4.21720344e-10,4.21720344e-10
3.75000000e-01,1.58489319e-01,6.20917040e-01,2.41726623e+01,1.72637836e+00,9.99862879e+01,2.36753946e+01,1.84910577e-01,2.97453539e-01,2.34694565e-09,7.32175077e-10,3.76215028e-10,3.76215028e-10
3.75000000e-01,1.77827941e-01,6.25259374e-01,2.41014609e+01,1.72021289e+00,9.99858674e+01,2.36103850e+01,1.88729692e-01,2.96940884e-01,2.10372501e-09,6.51468617e-10,3.35609745e-10,3.35609745e-10
3.75000000e-01,1.99526231e-01,6.29615005e-01,2.40307373e+01,1.71407384e+00,9.99855986e+01,2.35453082e+01,1.92508103e-01,2.96426115e-01,1.88553511e-09,5.79681980e-10,2.99379870e-10,2.99379870e-10
3.75000000e-01,2.23872114e-01,6.33984428e-01,2.39605938e+01,1.70796642e+00,9.99853837e+01,2.34797053e+01,1.96242113e-01,2.95909199e-01,1.68980289e-09,5.15823443e-10,2.67052135e-10,2.67052135e-10
3.75000000e-01,2.51188643e-01,6.38368004e-01,2.38910944e+01,1.70189346e+00,9.99851823e+01,2.34129835e+01,1.99927776e-01,2.95390120e-01,1.51423082e-09,4.59015801e-10,2.38206497e-10,2.38206497e-10
3.75000000e-01,2.81838293e-01,6.42766067e-01,2.38222439e+01,1.69585409e+00,9.99849790e+01,2.33444067e+01,2.03561026e-01,2.94868869e-01,1.35676154e-09,4.08481092e-10,2.12469144e-10,2.12469144e-10
3.75000000e-01,3.16227766e-01,6.47179685e-01,2.37539601e+01,1.68984155e+00,9.99847684e+01,2.32730788e+01,2.07138332e-01,2.94345358e-01,1.21552869e-09,3.63521654e-10,1.89503481e-10,1.89503481e-10
3.75000000e-01,3.54813389e-01,6.51609522e-01,2.36864478e+01,1.68387016e+00,9.99870602e+01,2.31979620e+01,2.10655784e-01,2.93819548e-01,1.08887699e-09,3.23523745e-10,1.69012531e-10,1.69012531e-10
3.75000000e-01,3.98107171e-01,6.56057038e-01,2.36184505e+01,1.67785149e+00,9.99853180e+01,2.31178589e+01,2.14110097e-01,2.93291314e-01,9.75304313e-10,2.87936704e-10,1.50728780e-10,1.50728780e-10
3.75000000e-01,4.46683592e-01,6.60523697e-01,2.35502983e+01,1.67181010e+00,9.99844422e+01,2.30314385e+01,2.17498003e-01,2.92760533e-01,8.73470623e-10,2.56273606e-10,1.34414927e-10,1.34414927e-10
3.75000000e-01,5.01187234e-01,6.65011082e-01,2.34813749e+01,1.66570457e+00,9.99839406e+01,2.29372455e+01,2.20816390e-01,2.92227079e-01,7.82176356e-10,2.28102571e-10,1.19859814e-10,1.19859814e-10
3.75000000e-01,5.62341325e-01,6.69521998e-01,2.34109559e+01,1.65948673e+00,9.99835813e+01,2.28336961e+01,2.24063143e-01,2.91690684e-01,7.00328283e-10,2.03034563e-10,1.06872450e-10,1.06872450e-10
3.75000000e-01,6.30957344e-01,6.74058696e-01,2.33381887e+01,1.65310039e+00,9.99832633e+01,2.27191377e+01,2.27235860e-01,2.91151156e-01,6.26963259e-10,1.80729219e-10,9.52853258e-11,9.52853258e-11
3.75000000e-01,7.07945784e-01,6.78624607e-01,2.32620739e+01,1.64648009e+00,9.99829455e+01,2.25918360e+01,2.30333146e-01,2.90608171e-01,5.61204470e-10,1.60880150e-10,8.49470534e-11,8.49470534e-11
3.75000000e-01,7.94328235e-01,6.83223247e-01,2.31814653e+01,1.63955110e+00,9.99826115e+01,2.24500288e+01,2.33353856e-01,2.90061403e-01,5.02271287e-10,1.43216832e-10,7.57235755e-11,7.57235755e-11
3.75000000e-01,8.91250938e-01,6.87858509e-01,2.30950688e+01,1.63222925e+00,9.99822535e+01,2.22919519e+01,2.36297359e-01,2.89510493e-01,4.49464206e-10,1.27499010e-10,6.74954566e-11,6.74954566e-11
3.75000000e-01,1.00000000e+00,6.92535610e-01,2.30014594e+01,1.62442219e+00,9.99818666e+01,2.21158368e+01,2.39164153e-01,2.88954935e-01,4.02147221e-10,1.13510590e-10,6.01548624e-11,6.01548624e-11
3.75000000e-01,1.12201845e+00,6.97259807e-01,2.28990908e+01,1.61602995e+00,9.99814460e+01,2.19199838e+01,2.41955074e-01,2.88394234e-01,3.59756122e-10,1.01061332e-10,5.36066006e-11,5.36066006e-11
